id,i1_overs,i1_limit,i2_overs,i2_limit,is_short,result,pp_i1,pp_i2,full_game,i1_balls,i2_balls
598071,20,balls,20,win,0,i2,6,6,1,120,120
598072,20,balls,20,win,0,i2,6,6,1,120,120
598073,20,balls,20,balls,0,i1,6,6,1,120,120
729279,20,balls,20,balls,0,i1,6,6,1,120,120
729281,20,balls,17,win,0,i2,6,6,1,120,120
729283,20,balls,19,win,0,i2,6,6,1,120,120
729285,20,balls,20,win,0,i2,6,6,1,120,120
729287,20,balls,18,win,0,i2,6,6,1,120,120
729289,20,balls,20,win,0,i2,6,6,1,120,120
729291,20,balls,19,win,0,i2,6,6,1,120,120
729293,20,balls,16,balls,0,i1,6,6,1,120,120
729295,20,balls,20,wickets,0,i1,6,6,1,120,120
729297,20,balls,20,wickets,0,i1,6,6,1,120,120
729299,20,balls,20,balls,0,i1,6,6,1,120,120
729301,20,balls,20,balls,0,i1,6,6,1,120,120
729303,20,balls,19,win,0,i2,6,6,1,120,120
729305,15,wickets,13,win,0,i2,6,6,1,120,120
729307,20,balls,19,wickets,0,i1,6,6,1,120,120
729309,20,balls,19,win,0,i2,6,6,1,120,120
729311,20,balls,20,win,0,i2,6,6,1,120,120
729313,20,balls,19,win,0,i2,6,6,1,120,120
729315,20,balls,20,win,0,i2,6,6,1,120,120
729317,20,balls,20,balls,0,i1,6,6,1,120,120
733971,17,balls,17,balls,0,i1,5,5,0,102,102
733973,20,balls,20,win,0,i2,6,6,1,120,120
733975,20,balls,19,win,0,i2,6,6,1,120,120
733977,20,balls,20,win,0,i2,6,6,1,120,120
733979,20,balls,20,balls,0,i1,6,6,1,120,120
733981,20,balls,20,win,0,i2,6,6,1,120,120
733983,20,balls,20,balls,0,i1,6,6,1,120,120
733985,20,balls,19,win,0,i2,6,6,1,120,120
733987,20,balls,20,balls,0,i1,6,6,1,120,120
733989,20,balls,20,wickets,0,i1,6,6,1,120,120
733991,20,balls,20,balls,0,i1,6,6,1,120,120
733993,20,balls,5,win,D/L,i2,6,2,0,120,check
733995,20,balls,20,win,0,i2,6,6,1,120,120
733997,20,balls,18,win,0,i2,6,6,1,120,120
733999,20,balls,19,win,0,i2,6,6,1,120,120
734001,20,balls,19,win,0,i2,6,6,1,120,120
734003,20,balls,20,win,0,i2,6,6,1,120,120
734005,20,balls,20,balls,0,i1,6,6,1,120,120
734007,20,balls,19,win,0,i2,6,6,1,120,120
734009,20,balls,19,win,0,i2,6,6,1,120,120
734011,20,balls,20,balls,0,i1,6,6,1,120,120
734013,20,balls,20,win,0,i2,6,6,1,120,120
734015,20,balls,20,win,0,i2,6,6,1,120,120
734017,20,balls,20,balls,0,i1,6,6,1,120,120
734019,20,balls,20,win,0,i2,6,6,1,120,120
734021,20,balls,20,win,0,i2,6,6,1,120,120
734023,20,balls,18,win,0,i2,6,6,1,120,120
734025,20,balls,19,win,0,i2,6,6,1,120,120
734027,20,balls,20,balls,0,i1,6,6,1,120,120
734029,20,balls,20,win,0,i2,6,6,1,120,120
734031,20,wickets,20,balls,0,i1,6,6,1,120,120
734033,20,balls,20,balls,0,i1,6,6,1,120,120
734035,20,balls,18,win,0,i2,6,6,1,120,120
734037,20,balls,15,win,0,i2,6,6,1,120,120
734039,19,wickets,14,win,0,i2,6,6,1,120,120
734041,20,balls,15,win,0,i2,6,6,1,120,120
734043,20,balls,20,balls,0,i1,6,6,1,120,120
734045,20,balls,19,win,0,i2,6,6,1,120,120
734047,20,balls,20,balls,0,i1,6,6,1,120,120
734049,20,balls,20,win,0,i2,6,6,1,120,120
829705,20,balls,19,win,0,i2,6,6,1,120,120
829707,20,balls,20,balls,0,i1,6,6,1,120,120
829709,20,balls,20,balls,0,i1,6,6,1,120,120
829711,20,balls,20,balls,0,i1,6,6,1,120,120
829713,20,balls,19,win,0,i2,6,6,1,120,120
829715,20,balls,20,win,0,i2,6,6,1,120,120
829717,20,balls,20,balls,0,i1,6,6,1,120,120
829719,20,wickets,18,win,0,i2,6,6,1,120,120
829721,20,balls,20,win,0,i2,6,6,1,120,120
829723,20,balls,20,win,0,i2,6,6,1,120,120
829725,20,balls,20,win,0,i2,6,6,1,120,120
829727,20,balls,20,win,0,i2,6,6,1,120,120
829729,20,balls,17,win,0,i2,6,6,1,120,120
829731,20,balls,20,balls,0,i1,6,6,1,120,120
829733,20,balls,18,win,0,i2,6,6,1,120,120
829735,20,balls,19,win,0,i2,6,6,1,120,120
829737,20,balls,20,balls,0,i1,6,6,1,120,120
829739,20,balls,19,win,0,i2,6,6,1,120,120
829741,20,balls,20,win,0,i2,6,6,1,120,120
829743,20,balls,12,balls,D/L,i1,6,4,0,120,72
829745,20,balls,20,balls,0,i1,6,6,1,120,120
829747,20,balls,20,balls,0,i1,6,6,1,120,120
829749,20,balls,17,win,0,i2,6,6,1,120,120
829751,20,balls,20,balls,0,i1,6,6,1,120,120
829753,20,balls,20,balls,0,i1,6,6,1,120,120
829757,19,wickets,11,win,0,i2,6,6,1,120,120
829759,20,balls,20,balls,0,i1,6,6,1,120,120
829761,20,balls,20,balls,0,i1,6,6,1,120,120
829763,20,balls,NA,NA,NR,NA,6,0,0,120,NA
829765,20,balls,20,balls,0,i1,6,6,1,120,120
829767,20,balls,14,win,0,i2,6,6,1,120,120
829769,20,balls,20,balls,0,i1,6,6,1,120,120
